Time (s),USB Avg Power (mW)
494.4624,1838.4
494.4644,1840.8
494.4664,1838.4
494.4684,1838.4
494.4704,1838.4
494.4724,1843.2001
494.4744,1838.4
494.4764,1838.4
494.4784,1838.4
494.4804,1843.2001
494.4824,1840.8
494.4844,1838.4
494.4864,1840.8
494.4884,1881.6001
494.4904,1838.4
494.4924,1838.4
494.4944,1838.4
494.4964,1843.2001
494.4984,1838.4
494.5004,1838.4
494.5024,1838.4
494.5044,1840.8
494.5064,1838.4
494.5084,1838.4
494.5104,1838.4
494.5124,1840.8
494.5144,1838.4
494.5164,1836.0001
494.5184,1838.4
494.5204,1843.2001
494.5224,1838.4
494.5244,1838.4
494.5264,1838.4
494.5284,1840.8
494.5304,1840.8
494.5324,1838.4
494.5344,1838.4
494.5364,1843.2001
494.5384,1876.8
494.5404,1838.4
494.5424,1838.4
494.5444,1843.2001
494.5464,1838.4
494.5484,1838.4
494.5504,1838.4
494.5524,1840.8
494.5544,1840.8
494.5564,1838.4
494.5584,1840.8
494.5604,1843.2001
494.5624,1838.4
494.5644,1838.4
494.5664,1838.4
494.5684,1843.2001
494.5704,1840.8
494.5724,1838.4
494.5744,1836.0001
494.5764,1843.2001
494.5784,1838.4
494.5804,1838.4
494.5824,1838.4
494.5844,1843.2001
494.5864,1840.8
494.5884,1879.2001
494.5904,1840.8
494.5924,1843.2001
494.5944,1836.0001
494.5964,1840.8
494.5984,1838.4
494.6004,1843.2001
494.6024,1838.4
494.6044,1836.0001
494.6064,1838.4
494.6084,1843.2001
494.6104,1838.4
494.6124,1838.4
494.6144,1836.0001
494.6164,1840.8
494.6184,1838.4
494.6204,1838.4
494.6224,1836.0001
494.6244,1840.8
494.6264,1838.4
494.6284,1838.4
494.6304,1838.4
494.6324,1843.2001
494.6344,1836.0001
494.6364,1838.4
494.6384,1838.4
494.6404,1843.2001
494.6424,1838.4
494.6444,1838.4
494.6464,1838.4
494.6484,1843.2001
494.6504,1838.4
494.6524,1836.0001
494.6544,1836.0001
494.6564,1843.2001
494.6584,1838.4
494.6604,1838.4
494.6624,1836.0001
494.6644,1843.2001
494.6664,1836.0001
494.6684,1838.4
494.6704,1838.4
494.6724,1843.2001
494.6744,1838.4
494.6764,1838.4
494.6784,1838.4
494.6804,1843.2001
494.6824,1838.4
494.6844,1838.4
494.6864,1836.0001
494.6884,1843.2001
494.6904,1840.8
494.6924,1838.4
494.6944,1838.4
494.6964,1840.8
494.6984,1838.4
494.7004,1836.0001
494.7024,1838.4
494.7044,1843.2001
494.7064,1836.0001
494.7084,1838.4
494.7104,1840.8
494.7124,1843.2001
494.7144,1838.4
494.7164,1843.2001
